136.98282,111.25985,alwaysinbeta  boston  seemyrun  harvard  ,2
136.98282,111.25985,boston  harvard  ,5
136.98282,111.25985,urban  buildings  art  boston  abstract  massachusetts  minimal  town  street  perspective  cities  geometric  architecture  building  city  arts  eastcoast  architectureporn  geometry  pattern  archidaily  lines  harvard  skyscraper  lookingup  bostonlove  architexture  composition  architecturelovers  archilovers  ,6
136.98282,111.25985,urban  buildings  art  boston  abstract  massachusetts  minimal  town  street  perspective  cities  geometric  architecture  building  city  arts  eastcoast  architectureporn  geometry  pattern  archidaily  lines  harvard  skyscraper  lookingup  bostonlove  architexture  composition  architecturelovers  archilovers  ,8
131.88889,149.55556,boston  harvard  usa  harvardlaw  red  ,10
136.98282,111.25985,familyguyquote  cambridge  usa  boston  university  pondering  pretendingtobesmart  explore  harvard  samos  travel  ,11
136.98282,111.25985,harvard  ,12
136.98282,111.25985,beautiful  life  cambridge  love  instalike  awesome  library  books  all_shots  lifestyle  instamood  tflers  usa  harvarduniversity  daily  instagood  amazing  harvard  bestoftheday  boston  picoftheday  photooftheday  ,13
127.05176,103.50617,style  cambridge  bathrooms  restaurant  boston  restroom  harvard  harvardsquare  design  ,14
212,106,bridges  cambridge  boston  photography  harvarduniversity  crew  landscape  harvard  massachusetts  travel  charlesriver  ,16
136.98282,111.25985,harvard  boston  oldest  library  largest  ,18
136.98282,111.25985,studentlife  greenery  amazingview  skyporn  students  instalike  harvarduniversity  harvard  trip  instafollow  university  sky  instatrip  instagood  amazing  architecture  travelgram  instamood  amazingsky  travel  ,19
136.98282,111.25985,canada  harvard  terryfox  ,20
103.0623,30.8257,wacc  harvardbusinessschool  harvard  ,21
146.1,113.7,harvard  tourist  washyourhand  ,23
162.47222,153.13889,australia  usa  kronosarus  kronosaruskorner  richmond  kronosuranus  harvard  boston  qld  ,30
136.98282,111.25985,titleix  harvard  photooftheday  ,32
212,106,cambridge  sunset  johnfkennedy  harvard  boston  park  johnfkennedypark  ,33
136.98282,111.25985,fblogger  boston  travel  harvarduniversity  mishionista  explore  harvard  johnharvard  fblog  ,35
114.616,111.104,yomkippur  eyes  cambridge  family  jewish  instalike  israel  torah  me  bordercafe  massachusetts  instadaily  america  friends  brazil  catholic  bible  holy  usa  i  my  brother  instagood  religion  harvard  atonement  smile  forgiveness  picoftheday  ,39
173.591,110.798,cambridge  isawaboticelli  harvard  ,41
212,106,harvard  harvardsquare  halloweentime  fall  free  pumpkin  ,59
147.23126,109.49169,shadows  summer  cambridge  timetravel  sunandshade  newengland  romance  harvard  architecture  english  throwback  brick  bostondiaries  latergram  ,70
136.98282,111.25985,cambridge  boston  travel  quiet  campus  quiettime  harvard  massachusetts  studying  throwback  throwbacktuesday  nofilter  trip  iphonegraphy  photographysouls  ,78
136.98282,111.25985,boston  university  harvard  johnharvard  ,80
136.98282,111.25985,mandatory  %EC%B0%B8%EB%82%A8%EA%B3%B5%EC%83%9D  students  %EC%88%98%EC%98%81  %EA%B8%89%ED%96%89  harvard  %ED%95%99%EC%83%9D  %ED%8F%AC%EA%B8%B0  %EC%9D%B8%EC%97%B0  swimming  class  er  ,81
136.98282,111.25985,bridge  harvard  latergtam  ,93
71.891,8.984,cambridge  cs50  harvard  university  computerscience  engineering  puzzleday  facebook  yale  college  software  ,98
136.98282,111.25985,ma  harvard  harvardsquare  boston  ,99
181.48405,74.75368,harvard  datenight  ,102
136.98282,111.25985,beautiful  tribe  campus  collegetown  boston  university  getaway  class  see  harvard  study  education  mit  ,104
162.34596,96.33209,allnighter  harvard  college  starbucks  sleepy  lamont  homework  ,106
136.98282,111.25985,boston  nicecity  harvard  ,107
294.364,16.804,boston  graffitialley  harvard  graffiti  lanlangotoboston  ,108
181.48405,74.75368,boston  harvard  cafesushi  ,114
46.08731,51.38407,showtime  figureskating  harvard  ewc2015  ,115
136.98282,111.25985,boston  harvard  johnharvard  harvarduniversity  gerisiniharvarddusunsun  ,117
76.21956,183.10951,fitfam  poweredbyplants  phdrunner  september  selfie  vegan  halfmarathontraining  pegasus  fall  garmin  nightout  nikeplus  veganrunner  plantbased  cambma  instagood  harvard  runfie  instarunners  cambridgema  monday  nikerunning  dontcare  ,124
136.98282,111.25985,harvard  daywithfriends  ,127
154.899,93.098,deathinvenice  nuance  sentence  paperback  translator  harvard  resonance  tone  novelist  everynovel  translation  michaelcunningham  rawmaterial  novel  language  introduction  writer  book  rhythm  lostintranslation  harvardbookstore  ,133
136.98282,111.25985,cambridge  harvard  iphone6  travel  potd  %ED%95%98%EB%B2%84%EB%93%9C  %EC%97%AC%ED%96%89  ,143
99.509,76.504,progressivism  chomskyjfkforum  harvard  mit  chomskyiop  ,145
136.98282,111.25985,cambridge  blackandwhite  masssachusetts  boston  travel  blackandwhitephotography  harvarduniversity  harvard  photography  ,154
174.13554,104.62291,beautiful  urban  cambridge  nature  abstract  library  harvard  design  architectures  follow  instadaily  lecorbusiery  pr  architectureporn  geometry  publiclibrary  architecture  ic_architecture  minimalism  white  photography  ,157
154.52529,107.39501,harvard  massachusetts  usa  widenerlibrary  boston  university  harvardyard  ,159
212,106,bostonma  bridge  cambridge  boston  travel  harvarduniversity  harvard  massachusettes  photography  ,163
212,106,bostonma  bridge  cambridge  boston  travel  harvarduniversity  harvard  massachusettes  photography  ,164
115.18518,99.3457,tetedecon  cambridge  instalove  harvard  ,166
136.98282,111.25985,nosugar  harvard  joannechang  ,168
99.509,76.504,harvardksr  harvard  noamchomsky  chomskyforum  ,169
99.509,76.504,talks  noamchomsky  linguist  legends  harvard  ,171
136.98282,111.25985,tourist  nature  instalike  university  instapic  tbt  all_shots  instagood  harvard  igers  smile  picoftheday  latergram  travel  ,175
125,103,thet  harvard  shoes  shoesinfrontofme  subway  infront  ,176
281,274,harvard  fall  home  boston  kisberinboston  65degrees  ,181
127.05176,103.50617,missthisplace  coldbuthappy  westmeetseast  universitylife  boston  biba  harvard  harvardsquare  ,183
136.87629,111.3681,lawschool  cambridge  people  clothes  instalike  face  hls  fashion  likes  law  me  like4like  ma  followme  likes4likes  lawschoollife  daily  picoftheday  harvardlawschool  harvard  likeforlike  gf_daily  looks  1l  l4l  ,185
133.002,122.7,centralsquare  foodgasm  coffeelover  boston  espresso  foodies  darwinsltd  harvard  harvardsquare  cambridgema  coffeeaddict  inmansquare  ,197
148,109,cambridge  harvardyard  weddedwanderers  funfacts  harvard  harvardsquare  massachusetts  travelgram  memorialhallharvard  ,201
168.83333,127.88889,bostonusa  harvard  igersboston  pulseofboston  cambridgema  boston  picturecambridge  ,204
111.564,110.57,stbeautytour  cambridge  harvard  wondaland  ,207
136.87629,111.3681,whatlikeitshard  harvard  harvardyard  ,208
118.77669,103.35728,nom  cambridge  foodie  jimmies  food  boston  fat  cupcake  bu  harvard  igersboston  sprinkles  bostonbites  rainbow  eatingfortheinsta  eeeeeats  foodporn  eats  foodpics  yum  sweet  newforkcity  yummy  ,209
181.525,128.689,imprecisetropics  harvard  ecologiesofcoffee  medellin  devoci%C3%B3n  ,211
136.98282,111.25985,boston  harvard  day2  usa  cmctakesnyc  ,213
171.989,80.7,harvard  berryline  yogurt  boston  lanlangotoboston  best  ,214
136.87629,111.3681,spring  fall  us  harvard  boston  guy  chinacolada  beard  ,215
103.0623,30.8257,kennedyschoolofgovernment  harvard  harvardbusinessschool  harvarduniversity  hbs  harvardafricabusinessconference  ,216
171.989,80.7,harvard  berryline  yogurt  boston  lanlangotoboston  best  ,219
136.87629,111.3681,harvard  ,220
136.87629,111.3681,instagram  monday  september  boston  mine  tagsforlike  %D0%B0%D1%87%D0%BE%D1%82%D1%8B%D0%B2%D1%81%D0%B5%D0%B3%D0%B4%D0%B0%D1%81%D0%B1%D0%BE%D0%BA%D1%83  harvard  myworld  univercity  trip  me  usa  kidas  girls  instagood  tagsforlikes  %D0%B0%D0%B8%D0%B4%D0%B8%D1%82%D0%B5%D0%B2%D1%8B%D0%BD%D0%B0%D1%85%D1%83%D0%B9  universe  %D0%B0%D1%87%D0%BE%D1%82%D1%8B%D1%82%D0%B0%D0%BA%D0%B0%D1%8F%D0%B4%D0%B5%D1%80%D0%B7%D0%BA%D0%B0%D1%8F  brick  %D0%B0%D1%87%D0%BE%D1%82%D1%8B%D0%B4%D0%B5%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7%D1%8B%D0%B2%D0%B0%D0%B5%D1%88%D1%8C  instamood  ,222
136.87629,111.3681,harvardyard  wandergasm  workperks  harvard  massachusetts  travelgram  eastcoastlifestyle  internsatconcur  highstandards  ,226
136.98282,111.25985,monday  september  boston  mommy  tagsforlike  autumn  univercityofharvard  harvard  harvardunivercity  %D0%BD%D0%B0%D0%B4%D0%BE%D0%BF%D0%BE%D0%B4%D1%83%D1%87%D0%B8%D1%82%D1%8C%D1%81%D1%8F  weekend  trip  usa  girls  %D0%B0%D1%87%D0%BE%D1%82%D1%8B%D0%B2%D1%81%D0%B5%D0%B3%D0%B4%D0%B0%D1%81%D0%B1%D0%BE%D0%BA%D1%83  instagood  tagsforlikes  %D0%B0%D0%B8%D0%B4%D0%B8%D1%82%D0%B5%D0%B2%D1%8B%D0%BD%D0%B0%D1%85%D1%83%D0%B9  %D0%B0%D1%87%D0%BE%D1%82%D1%8B%D1%82%D0%B0%D0%BA%D0%B0%D1%8F%D0%B4%D0%B5%D1%80%D0%B7%D0%BA%D0%B0%D1%8F  %D0%B0%D1%87%D0%BE%D1%82%D1%8B%D0%B4%D0%B5%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7%D1%8B%D0%B2%D0%B0%D0%B5%D1%88%D1%8C  instamood  ,228
119.27,194.493,eatlocal  westsidelounge  bostoneats  boston  cocktails  foodies  harvard  harvardsquare  cambridgema  foodgasm  weirdsidelounge  ,230
156.501,93.899,burger  harvard  boston  mrbartleys  lanlangotoboston  best  ,235
125.983,189.801,livemusic  harvard  boston  bostonmusicscene  bostonmusic  cambridgema  harvardsquare  bostonbands  bostonma  ,236
103.0623,30.8257,igboston  instagram  boston  harvard  sunset  igers  vscocam  vsco  picoftheday  ,237
136.87629,111.3681,harvard  ,238
156.501,93.899,burger  harvard  boston  mrbartleys  lanlangotoboston  best  ,239
136.87629,111.3681,boston  coffee  harvard  ,240
136.87629,111.3681,harvard  massachusetts  johnharvard  ,242
188.2,169.6,brazil  globaleducation  harvard  ,243
212,106,cheesin  jenesisfonseca  harvard  ,245
136.87629,111.3681,cambridge  ignewengland  justgoshoot  huffpostgram  harvard  design  bostonusa  vscogrid  mashpics  igersusa  bostondotcom  allcities  vsco  visitma  mood  exploreeverything  lifeofadventure  depth  winningmeover  igmass  architecture  igersboston  cleanlines  vscocam  ,246
136.87629,111.3681,getoknowus  harvard  singing  lowkeys  cappella  rookeys  ,247
136.87629,111.3681,boston  harvard  ,253
127.05176,103.50617,boston  howyoulikethemapples  harvard  ,254
136.87629,111.3681,ilovecollege  nobigdeal  harvard  harvardsquare  ,255
115.302,103.589,nom  cambridge  healthyeats  beat  eggs  hotel  harvard  college  massachusetts  breakfast  brunch  eeeeeats  salad  eggsbenedict  noms  healthy  shortribs  harvardsquare  nomz  harvardeats  ,262
136.87629,111.3681,dontknowhowmanypeopletoucheditbefore  harvard  ,263
146.1,113.7,tar25  momdaughter  tar  harvardyard  boston  bos  crew  harvard  bikes  massachusetts  flightattendant  crewlife  theamazingrace  flygirl  biking  ,265
162.47222,153.13889,naturalhistorymuseum  cambridge  art  harvard  geology  boston  ,266
144.84228,103.31231,greek  harvard  legend  linguistics  ,271
46.08731,51.38407,figureskating  harvard  photooftheweekend  iceskating  cold  ice  ,273
136.98282,111.25985,cambridge  yard  harvard  fall  boston  sun  leaf  ,274
136.87629,111.3681,summer  school  business  harvard  at  certificateofexcellence  got  the  now  ,275
136.87629,111.3681,behaviors  eating  human  totem  honey  harvard  habits  hackathon  love  your  tracking  thank  study  bees  systems  beeswax  cycles  honeycomb  ,277
103.0623,30.8257,cambridge  boston  mba  newengland  harvard  massachusetts  beantown  fletcherschool  trip  harvardbusinessschool  bakerlibrary  hbs  kennedyschool  sloan  nofilter  charlesriver  spiritofamerica  ,278
136.87629,111.3681,feelingsmart  campus  harvard  ,279
136.87629,111.3681,boston  travel  harvard  ,280
136.87629,111.3681,boston  travel  harvard  ,283
125.983,189.801,bostoneats  boston  beergeek  cocktails  foodies  harvard  harvardsquare  bostondrinks  cambridgema  ,284
8.46,51.77,travelinggram  createexploretakeover  trottergram  harvarduniversity  igersmass  letsgosomewhere  lookupseason  passionpassport  seemycity  instagood  worldcaptures  igboston  bostondotcom  mytinyatlas  amazingplaces  wanderlust  exploreeverything  postcardsfromtheworld  aroundtheworld  vscodaily  streetdreamsmag  doyoutravel  harvard  instapassport  wanderfolk  igersnewengland  vscocam  cntraveler  freedomthinkers  instamasters  ,287
136.87629,111.3681,boston  harvard  harvardisbetter  ,288
136.87629,111.3681,hammac  cambridge  architecture  harvard  boston  campus  ,289
136.98282,111.25985,boston  harvard  ,290
136.87629,111.3681,boston  cambridge  campus  harvard  ,295
136.87629,111.3681,feelingsmart  napinthepark  cambridge  harvard  boston  campus  ,296
98.70579,113.3305,bike  good  hubway  takeabreak  boston  ride  chocolate  harvard  hotchocolate  sweet  cafe  ,297
136.98282,111.25985,theyalsohadfoodtrucksoncampus  harvard  whereuat  theweatherwasnicethough  ,298
146.1,113.7,harvard  knowledge  wisdom  ,299
127.05176,103.50617,%EA%B2%8C%EC%9C%BC%EB%A6%84%EB%B1%85%EC%9D%B4  coffeeaddict  %EC%9E%89%EC%97%AC  harvard  %EC%B0%A8%EB%9D%BC%EB%A6%AC%ED%95%9C%EA%B5%AD%EB%B3%B4%EB%82%B4%EC%A4%98  %EB%8F%85%EC%9D%BC%EC%95%88%EA%B0%88%EB%9E%98  %EB%AF%B8%EA%B5%AD%EC%83%9D%ED%99%9C  ,300
136.87629,111.3681,cambridge  oneday  harvard  ,310
212,106,boston  cambridge  harvard  ,314
136.87629,111.3681,instadaily  harvard  photooftheday  kembridge  ,316
136.87629,111.3681,lazerturviagens  harvard  euviajolazertur  ,318
45.77778,32.88889,crimson  harvard  ilfallball  ,319
136.87629,111.3681,harvard  ,321
125.74967,222.34675,cambridge  pravana  boston  purplehair  portersquare  olaplex  harvard  pinkhairdontcare  tufts  fairytail  purple  lesley  fairytalehair  purplehairdontcare  mit  pinkhair  olaplexlove  harvardsquare  pravanavivids  ,322
136.87629,111.3681,cambridge  starsandstripes  boston  harvard  massachusetts  statue  john  americanflag  ,334
164.4258,128.2817,foodie  summer2015  verit%C3%A0  food  waffles  harvard  veritas  waffle  ,348
136.87629,111.3681,boston  cambridge  harvarduniversity  harvard  veritas  ,349
136.87629,111.3681,%E9%A3%9F%E6%AC%B2%E3%81%AE%E7%A7%8B  %E3%81%8A%E3%82%84%E3%81%99%E3%81%BF%E3%81%AA%E3%81%95%E3%81%84  boston  0921  %E3%81%AF%E3%81%98%E3%81%BE%E3%82%8A%E3%81%BE%E3%81%97%E3%81%9F  start  goodnight  harvard  2ndsemester  fall  2015  ,350
136.87629,111.3681,boston  harvard  ,351
157.493,90.809,harvard  gyoza  shoyu  boston  japaneseramen  santouka  0920  ,362
212,106,bridge  cambridge  run  boston  university  harvarduniversity  running  harvard  sunset  massachusetts  bostonstrong  charlesriver  happy  ,363
136.87629,111.3681,harvard  share  ,365
136.87629,111.3681,harvard  nitchainboston  ,378
136.87629,111.3681,carpentercenter  boston  harvard  cambridge  lecorbusier  ,379
136.87629,111.3681,me  harvard  natural  boston  thebestuniversity  harvarduniversity  awesome  ,380
127.586,106.907,bass  instagramers  awesome  rock  like  guitar  band  harvard  likes  follow  girl  instagood  cool  swag  goodmusic  vocals  self  girls  lol  pocky  harvardsquare  f4f  fun  smile  piano  like4like  picoftheday  ,384
136.87629,111.3681,boston  %D0%B3%D0%B0%D1%80%D0%B2%D0%B0%D1%80%D0%B4  harvard  harvarduniversity  johnharvard  ,388
136.87629,111.3681,cambridge  shalomboston  harvard  ,393
136.87629,111.3681,tour  harvard  diary  20150920  ,394
136.87629,111.3681,boston  harvard  ,397
170.79044,127.61499,cambridge  ma  pageturner  boston  chambermusic  bcms  harvard  music  sanderstheater  professional  ,405
136.87629,111.3681,harvard  college  football  6  ,412
136.87629,111.3681,summer  harvard  fall  metropolitanfashionista  campus  trees  ,414
136.87629,111.3681,boston  university  harvard  massachusetts  ,415
320.38565,2.73585,nom  cambridge  foodie  foodporn  dumplings  boston  fat  bu  harvard  igersboston  yummy  pattychens  bostonbites  centralsquare  eatingfortheinsta  eeeeeats  dumplingroom  eats  foodpics  food  newforkcity  gyoza  vegetable  yum  ,419
136.87629,111.3681,wat  usa  e%C4%9Fitim%C5%9Fart  travel  harvarduniversity  harvard  massachusetts  e%C4%9Fitim  education  cambridgecity  ,420
136.87629,111.3681,wantstay  harvard  relax  boston  dayoff  unitedstates  ,424
154.52529,107.39501,cambridge  toursbyliz  harvard  ,426
